file,lam_i_nm,lam_j_nm,span_nm,lam_center_nm,dnu_THz,fringes,tau_aux_ns
nofiber_sweep_ofdr_run1_2026-09-01_17-16-56.npz,1530.000000,1555.000000,25.000000,1542.500000,3.150206,64230.205636,20.389211
nofiber_sweep_ofdr_run1_2026-09-01_17-16-56.npz,1530.000000,1560.000000,30.000000,1545.000000,3.768130,76819.604951,20.386663
nofiber_sweep_ofdr_run1_2026-09-01_17-16-56.npz,1530.000000,1565.000000,35.000000,1547.500000,4.382107,89355.386754,20.390964
nofiber_sweep_ofdr_run1_2026-09-01_17-16-56.npz,1535.000000,1540.000000,5.000000,1537.500000,0.634106,12931.826839,20.393806
nofiber_sweep_ofdr_run1_2026-09-01_17-16-56.npz,1535.000000,1545.000000,10.000000,1540.000000,1.264107,25775.860820,20.390569
nofiber_sweep_ofdr_run1_2026-09-01_17-16-56.npz,1535.000000,1550.000000,15.000000,1542.500000,1.890044,38522.628583,20.381870
nofiber_sweep_ofdr_run1_2026-09-01_17-16-56.npz,1535.000000,1555.000000,20.000000,1545.000000,2.511955,51214.817987,20.388426
nofiber_sweep_ofdr_run1_2026-09-01_17-16-56.npz,1535.000000,1560.000000,25.000000,1547.500000,3.129880,63804.217302,20.385513
nofiber_sweep_ofdr_run1_2026-09-01_17-16-56.npz,1535.000000,1565.000000,30.000000,1550.000000,3.743857,76339.999105,20.390737
nofiber_sweep_ofdr_run1_2026-09-01_17-16-56.npz,1540.000000,1545.000000,5.000000,1542.500000,0.630001,12844.033981,20.387311
nofiber_sweep_ofdr_run1_2026-09-01_17-16-56.npz,1540.000000,1550.000000,10.000000,1545.000000,1.255938,25590.801745,20.375844
nofiber_sweep_ofdr_run1_2026-09-01_17-16-56.npz,1540.000000,1555.000000,15.000000,1547.500000,1.877850,38282.991148,20.386610
nofiber_sweep_ofdr_run1_2026-09-01_17-16-56.npz,1540.000000,1560.000000,20.000000,1550.000000,2.495775,50872.390463,20.383407
nofiber_sweep_ofdr_run1_2026-09-01_17-16-56.npz,1540.000000,1565.000000,25.000000,1552.500000,3.109751,63408.172266,20.390111
nofiber_sweep_ofdr_run1_2026-09-01_17-16-56.npz,1545.000000,1550.000000,5.000000,1547.500000,0.625937,12746.767763,20.364303
nofiber_sweep_ofdr_run1_2026-09-01_17-16-56.npz,1545.000000,1555.000000,10.000000,1550.000000,1.247848,25438.957167,20.386256
